REGIONID,DATATYPE,DATAVALUE,CALENDAR_DATE,PRETTYDATE
NSW1,Net Interchange,-1712,2022/06/17 00:00:00,17-Jun-22
NSW1,Scheduled Capacity,9648,2022/06/17 00:00:00,17-Jun-22
NSW1,Scheduled Demand,10831,2022/06/17 00:00:00,17-Jun-22
NSW1,Scheduled Reserve,528,2022/06/17 00:00:00,17-Jun-22
NSW1,Trading Interval,18:30,2022/06/17 00:00:00,17-Jun-22
NSW1,Net Interchange,-2369,2022/06/18 00:00:00,18-Jun-22
NSW1,Scheduled Capacity,8559,2022/06/18 00:00:00,18-Jun-22
NSW1,Scheduled Demand,10198,2022/06/18 00:00:00,18-Jun-22
NSW1,Scheduled Reserve,731,2022/06/18 00:00:00,18-Jun-22
NSW1,Trading Interval,18:30,2022/06/18 00:00:00,18-Jun-22
NSW1,Net Interchange,-2369,2022/06/19 00:00:00,19-Jun-22
NSW1,Scheduled Capacity,9658,2022/06/19 00:00:00,19-Jun-22
NSW1,Scheduled Demand,10334,2022/06/19 00:00:00,19-Jun-22
NSW1,Scheduled Reserve,1694,2022/06/19 00:00:00,19-Jun-22
NSW1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
NSW1,Net Interchange,-2410,2022/06/20 00:00:00,20-Jun-22
NSW1,Scheduled Capacity,10685,2022/06/20 00:00:00,20-Jun-22
NSW1,Scheduled Demand,11101,2022/06/20 00:00:00,20-Jun-22
NSW1,Scheduled Reserve,1993,2022/06/20 00:00:00,20-Jun-22
NSW1,Trading Interval,18:30,2022/06/20 00:00:00,20-Jun-22
NSW1,Net Interchange,-2222,2022/06/21 00:00:00,21-Jun-22
NSW1,Scheduled Capacity,10988,2022/06/21 00:00:00,21-Jun-22
NSW1,Scheduled Demand,10971,2022/06/21 00:00:00,21-Jun-22
NSW1,Scheduled Reserve,2238,2022/06/21 00:00:00,21-Jun-22
NSW1,Trading Interval,18:30,2022/06/21 00:00:00,21-Jun-22
NSW1,Net Interchange,-1917,2022/06/22 00:00:00,22-Jun-22
NSW1,Scheduled Capacity,11948,2022/06/22 00:00:00,22-Jun-22
NSW1,Scheduled Demand,11291,2022/06/22 00:00:00,22-Jun-22
NSW1,Scheduled Reserve,2575,2022/06/22 00:00:00,22-Jun-22
NSW1,Trading Interval,18:30,2022/06/22 00:00:00,22-Jun-22
NSW1,Net Interchange,-2227,2022/06/23 00:00:00,23-Jun-22
NSW1,Scheduled Capacity,9113,2022/06/23 00:00:00,23-Jun-22
NSW1,Scheduled Demand,8502,2022/06/23 00:00:00,23-Jun-22
NSW1,Scheduled Reserve,2838,2022/06/23 00:00:00,23-Jun-22
NSW1,Trading Interval,00:30,2022/06/23 00:00:00,23-Jun-22
QLD1,Net Interchange,256,2022/06/17 00:00:00,17-Jun-22
QLD1,Scheduled Capacity,8672,2022/06/17 00:00:00,17-Jun-22
QLD1,Scheduled Demand,7370,2022/06/17 00:00:00,17-Jun-22
QLD1,Scheduled Reserve,1045,2022/06/17 00:00:00,17-Jun-22
QLD1,Trading Interval,18:00,2022/06/17 00:00:00,17-Jun-22
QLD1,Net Interchange,-282,2022/06/18 00:00:00,18-Jun-22
QLD1,Scheduled Capacity,8570,2022/06/18 00:00:00,18-Jun-22
QLD1,Scheduled Demand,7113,2022/06/18 00:00:00,18-Jun-22
QLD1,Scheduled Reserve,1738,2022/06/18 00:00:00,18-Jun-22
QLD1,Trading Interval,18:30,2022/06/18 00:00:00,18-Jun-22
QLD1,Net Interchange,-154,2022/06/19 00:00:00,19-Jun-22
QLD1,Scheduled Capacity,8910,2022/06/19 00:00:00,19-Jun-22
QLD1,Scheduled Demand,7194,2022/06/19 00:00:00,19-Jun-22
QLD1,Scheduled Reserve,1871,2022/06/19 00:00:00,19-Jun-22
QLD1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
QLD1,Net Interchange,-244,2022/06/20 00:00:00,20-Jun-22
QLD1,Scheduled Capacity,8980,2022/06/20 00:00:00,20-Jun-22
QLD1,Scheduled Demand,7510,2022/06/20 00:00:00,20-Jun-22
QLD1,Scheduled Reserve,1714,2022/06/20 00:00:00,20-Jun-22
QLD1,Trading Interval,18:30,2022/06/20 00:00:00,20-Jun-22
QLD1,Net Interchange,-255,2022/06/21 00:00:00,21-Jun-22
QLD1,Scheduled Capacity,9251,2022/06/21 00:00:00,21-Jun-22
QLD1,Scheduled Demand,7432,2022/06/21 00:00:00,21-Jun-22
QLD1,Scheduled Reserve,2074,2022/06/21 00:00:00,21-Jun-22
QLD1,Trading Interval,18:30,2022/06/21 00:00:00,21-Jun-22
QLD1,Net Interchange,-61,2022/06/22 00:00:00,22-Jun-22
QLD1,Scheduled Capacity,9551,2022/06/22 00:00:00,22-Jun-22
QLD1,Scheduled Demand,7348,2022/06/22 00:00:00,22-Jun-22
QLD1,Scheduled Reserve,2263,2022/06/22 00:00:00,22-Jun-22
QLD1,Trading Interval,18:30,2022/06/22 00:00:00,22-Jun-22
QLD1,Net Interchange,-152,2022/06/23 00:00:00,23-Jun-22
QLD1,Scheduled Capacity,8636,2022/06/23 00:00:00,23-Jun-22
QLD1,Scheduled Demand,5536,2022/06/23 00:00:00,23-Jun-22
QLD1,Scheduled Reserve,3252,2022/06/23 00:00:00,23-Jun-22
QLD1,Trading Interval,00:30,2022/06/23 00:00:00,23-Jun-22
SA1,Net Interchange,-820,2022/06/17 00:00:00,17-Jun-22
SA1,Scheduled Capacity,1417,2022/06/17 00:00:00,17-Jun-22
SA1,Scheduled Demand,2019,2022/06/17 00:00:00,17-Jun-22
SA1,Scheduled Reserve,218,2022/06/17 00:00:00,17-Jun-22
SA1,Trading Interval,19:30,2022/06/17 00:00:00,17-Jun-22
SA1,Net Interchange,-820,2022/06/18 00:00:00,18-Jun-22
SA1,Scheduled Capacity,1922,2022/06/18 00:00:00,18-Jun-22
SA1,Scheduled Demand,1844,2022/06/18 00:00:00,18-Jun-22
SA1,Scheduled Reserve,898,2022/06/18 00:00:00,18-Jun-22
SA1,Trading Interval,19:00,2022/06/18 00:00:00,18-Jun-22
SA1,Net Interchange,-820,2022/06/19 00:00:00,19-Jun-22
SA1,Scheduled Capacity,2013,2022/06/19 00:00:00,19-Jun-22
SA1,Scheduled Demand,1980,2022/06/19 00:00:00,19-Jun-22
SA1,Scheduled Reserve,853,2022/06/19 00:00:00,19-Jun-22
SA1,Trading Interval,19:00,2022/06/19 00:00:00,19-Jun-22
SA1,Net Interchange,-820,2022/06/20 00:00:00,20-Jun-22
SA1,Scheduled Capacity,2808,2022/06/20 00:00:00,20-Jun-22
SA1,Scheduled Demand,2097,2022/06/20 00:00:00,20-Jun-22
SA1,Scheduled Reserve,1532,2022/06/20 00:00:00,20-Jun-22
SA1,Trading Interval,19:00,2022/06/20 00:00:00,20-Jun-22
SA1,Net Interchange,-810,2022/06/21 00:00:00,21-Jun-22
SA1,Scheduled Capacity,2995,2022/06/21 00:00:00,21-Jun-22
SA1,Scheduled Demand,2137,2022/06/21 00:00:00,21-Jun-22
SA1,Scheduled Reserve,1668,2022/06/21 00:00:00,21-Jun-22
SA1,Trading Interval,19:00,2022/06/21 00:00:00,21-Jun-22
SA1,Net Interchange,-817,2022/06/22 00:00:00,22-Jun-22
SA1,Scheduled Capacity,2757,2022/06/22 00:00:00,22-Jun-22
SA1,Scheduled Demand,2157,2022/06/22 00:00:00,22-Jun-22
SA1,Scheduled Reserve,1417,2022/06/22 00:00:00,22-Jun-22
SA1,Trading Interval,19:00,2022/06/22 00:00:00,22-Jun-22
SA1,Net Interchange,-818,2022/06/23 00:00:00,23-Jun-22
SA1,Scheduled Capacity,2641,2022/06/23 00:00:00,23-Jun-22
SA1,Scheduled Demand,1724,2022/06/23 00:00:00,23-Jun-22
SA1,Scheduled Reserve,1735,2022/06/23 00:00:00,23-Jun-22
SA1,Trading Interval,00:30,2022/06/23 00:00:00,23-Jun-22
TAS1,Net Interchange,0,2022/06/17 00:00:00,17-Jun-22
TAS1,Scheduled Capacity,2078,2022/06/17 00:00:00,17-Jun-22
TAS1,Scheduled Demand,1597,2022/06/17 00:00:00,17-Jun-22
TAS1,Scheduled Reserve,481,2022/06/17 00:00:00,17-Jun-22
TAS1,Trading Interval,08:30,2022/06/17 00:00:00,17-Jun-22
TAS1,Net Interchange,-478,2022/06/18 00:00:00,18-Jun-22
TAS1,Scheduled Capacity,2073,2022/06/18 00:00:00,18-Jun-22
TAS1,Scheduled Demand,1493,2022/06/18 00:00:00,18-Jun-22
TAS1,Scheduled Reserve,1058,2022/06/18 00:00:00,18-Jun-22
TAS1,Trading Interval,18:00,2022/06/18 00:00:00,18-Jun-22
TAS1,Net Interchange,-478,2022/06/19 00:00:00,19-Jun-22
TAS1,Scheduled Capacity,2229,2022/06/19 00:00:00,19-Jun-22
TAS1,Scheduled Demand,1399,2022/06/19 00:00:00,19-Jun-22
TAS1,Scheduled Reserve,1308,2022/06/19 00:00:00,19-Jun-22
TAS1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
TAS1,Net Interchange,-478,2022/06/20 00:00:00,20-Jun-22
TAS1,Scheduled Capacity,2116,2022/06/20 00:00:00,20-Jun-22
TAS1,Scheduled Demand,1444,2022/06/20 00:00:00,20-Jun-22
TAS1,Scheduled Reserve,1150,2022/06/20 00:00:00,20-Jun-22
TAS1,Trading Interval,18:00,2022/06/20 00:00:00,20-Jun-22
TAS1,Net Interchange,-478,2022/06/21 00:00:00,21-Jun-22
TAS1,Scheduled Capacity,2052,2022/06/21 00:00:00,21-Jun-22
TAS1,Scheduled Demand,1529,2022/06/21 00:00:00,21-Jun-22
TAS1,Scheduled Reserve,1001,2022/06/21 00:00:00,21-Jun-22
TAS1,Trading Interval,18:00,2022/06/21 00:00:00,21-Jun-22
TAS1,Net Interchange,-478,2022/06/22 00:00:00,22-Jun-22
TAS1,Scheduled Capacity,1965,2022/06/22 00:00:00,22-Jun-22
TAS1,Scheduled Demand,1534,2022/06/22 00:00:00,22-Jun-22
TAS1,Scheduled Reserve,909,2022/06/22 00:00:00,22-Jun-22
TAS1,Trading Interval,08:30,2022/06/22 00:00:00,22-Jun-22
TAS1,Net Interchange,-478,2022/06/23 00:00:00,23-Jun-22
TAS1,Scheduled Capacity,2054,2022/06/23 00:00:00,23-Jun-22
TAS1,Scheduled Demand,1145,2022/06/23 00:00:00,23-Jun-22
TAS1,Scheduled Reserve,1387,2022/06/23 00:00:00,23-Jun-22
TAS1,Trading Interval,00:30,2022/06/23 00:00:00,23-Jun-22
VIC1,Net Interchange,-119,2022/06/17 00:00:00,17-Jun-22
VIC1,Scheduled Capacity,7376,2022/06/17 00:00:00,17-Jun-22
VIC1,Scheduled Demand,6935,2022/06/17 00:00:00,17-Jun-22
VIC1,Scheduled Reserve,561,2022/06/17 00:00:00,17-Jun-22
VIC1,Trading Interval,18:30,2022/06/17 00:00:00,17-Jun-22
VIC1,Net Interchange,-1324,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Capacity,7513,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Demand,6469,2022/06/18 00:00:00,18-Jun-22
VIC1,Scheduled Reserve,2369,2022/06/18 00:00:00,18-Jun-22
VIC1,Trading Interval,18:30,2022/06/18 00:00:00,18-Jun-22
VIC1,Net Interchange,-1233,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Capacity,8626,2022/06/19 00:00:00,19-Jun-22
VIC1,Scheduled Demand,6531,2022/06/19 00:00:00,19-Jun-22
